Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Perf_Band,Count,Total,Pct
2023.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Good,5,21,23.81
2024.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Average,4,28,14.29
2024.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Excellent,9,28,32.14
2024.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Failing,5,28,17.86
2024.0,1,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Good,10,28,35.71
2024.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Average,5,27,18.52
2024.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Below Average,1,27,3.7
2024.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Excellent,11,27,40.74
2024.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Failing,1,27,3.7
2024.0,2,CBA,Bachelor of Science in Hospitality Management,Irregular,-1,Good,9,27,33.33
