Student_ID,College,Course,Semester,Sem_Numeric,Year_Numeric,GWA,fail_rate,is_drop
103_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,CEA,Bachelor of Science in Architecture,1sem,1,2022.0,1.86,0.0,0
103_CEA_Bachelor_of_Science_in_Civil_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Civil Engineering,1sem,1,2022.0,1.79,0.1428571428571428,0
103_CEA_Bachelor_of_Science_in_Electrical_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Electrical Engineering,1sem,1,2022.0,1.75,0.1428571428571428,0
103_CEA_Bachelor_of_Science_in_Electronics_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Electronics Engineering,1sem,1,2022.0,2.08,0.3333333333333333,0
103_CEA_Bachelor_of_Science_in_Industrial_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Industrial Engineering,1sem,1,2022.0,1.56,0.1111111111111111,0
103_CEA_Bachelor_of_Science_in_Mechanical_Engineering_1sem_2022-2023,CEA,Bachelor of Science in Mechanical Engineering,1sem,1,2022.0,3.08,0.4,0
103_COAS_Bachelor_of_Arts_in_Communication_1sem_2022-2023,COAS,Bachelor of Arts in Communication,1sem,1,2022.0,1.58,0.0,0
103_CTEC_Bachelor_of_Science_in_Industrial_Technology_1sem_2022-2023,CTEC,Bachelor of Science in Industrial Technology,1sem,1,2022.0,1.82,0.0,0
103_CTEC_Bachelor_of_Technical_Vocational_Teacher_Education_1sem_2022-2023,CTEC,Bachelor of Technical-Vocational Teacher Education,1sem,1,2022.0,1.6,0.0,0
104_CAHS_Bachelor_of_Science_in_Midwifery_1sem_2022-2023,CAHS,Bachelor of Science in Midwifery,1sem,1,2022.0,2.28,0.1,0
104_CAHS_Bachelor_of_Science_in_Nursing_1sem_2022-2023,CAHS,Bachelor of Science in Nursing,1sem,1,2022.0,2.0,0.0,0
104_CBA_Bachelor_of_Science_in_Hospitality_Management_1sem_2022-2023,CBA,Bachelor of Science in Hospitality Management,1sem,1,2022.0,2.56,0.25,0
104_CBA_Bachelor_of_Science_in_Tourism_Management_1sem_2022-2023,CBA,Bachelor of Science in Tourism Management,1sem,1,2022.0,1.71,0.0,0
104_CCST_Bachelor_of_Science_in_Computer_Science_1sem_2022-2023,CCST,Bachelor of Science in Computer Science,1sem,1,2022.0,1.68,0.0,0
104_CCST_Bachelor_of_Science_in_Entertainment_and_Multimedia_Computing_1sem_2022-2023,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1sem,1,2022.0,1.5,0.0,0
104_CCST_Bachelor_of_Science_in_Information_Technology_1sem_2022-2023,CCST,Bachelor of Science in Information Technology,1sem,1,2022.0,2.0,0.0,0
104_CEA_Bachelor_of_Science_in_Architecture_1sem_2022-2023,CEA,Bachelor of Science in Architecture,1sem,1,2022.0,2.57,0.1428571428571428,0
