Year_Numeric,College,Course,Subject,Avg_Grade,Std_Grade,Student_Cnt,Fail_Count,Fail_Rate
2022.0,CEA,Bachelor of Science in Architecture,ARDS0415,2.07,0.27,101,1,0.99
2022.0,CEA,Bachelor of Science in Architecture,ARDS0515,2.25,0.5,81,7,8.64
2022.0,CEA,Bachelor of Science in Architecture,ARHS0512,1.47,0.25,105,1,0.95
2022.0,CEA,Bachelor of Science in Architecture,ARPC0112,2.24,0.33,147,1,0.68
2022.0,CEA,Bachelor of Science in Architecture,ARPC1212,1.62,0.29,146,1,0.68
2022.0,CEA,Bachelor of Science in Architecture,ARPC2212,2.31,0.41,148,11,7.43
2022.0,CEA,Bachelor of Science in Architecture,ARSC0503,2.12,0.27,14,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,ARSC0513,1.2,0.31,89,1,1.12
2022.0,CEA,Bachelor of Science in Architecture,ARST0513,1.99,0.56,108,10,9.26
2022.0,CEA,Bachelor of Science in Architecture,BMAR0513,2.14,0.33,89,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,BTCH0213,2.14,0.74,129,7,5.43
2022.0,CEA,Bachelor of Science in Architecture,BTCH0313,3.12,0.96,83,33,39.76
2022.0,CEA,Bachelor of Science in Architecture,BTCH0413,1.24,0.69,113,3,2.65
2022.0,CEA,Bachelor of Science in Architecture,CADD0312,1.88,0.5,100,2,2.0
2022.0,CEA,Bachelor of Science in Architecture,CESD0413,2.63,0.42,108,9,8.33
2022.0,CEA,Bachelor of Science in Architecture,EAAC1203,1.62,0.33,149,2,1.34
2022.0,CEA,Bachelor of Science in Architecture,EAAC1302,2.38,0.73,151,14,9.27
2022.0,CEA,Bachelor of Science in Architecture,EEEL0214,3.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Architecture,EGEC0103,1.68,0.76,149,7,4.7
2022.0,CEA,Bachelor of Science in Architecture,EGEC0203,1.75,0.0,3,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,EGEC0303,1.1,0.36,146,1,0.68
2022.0,CEA,Bachelor of Science in Architecture,EMAT0702,1.96,0.6,148,5,3.38
2022.0,CEA,Bachelor of Science in Architecture,ENDA0213,1.5,,1,0,0.0
2022.0,CEA,Bachelor of Science in Architecture,FOLA0113,2.34,0.48,129,7,5.43
2022.0,CEA,Bachelor of Science in Architecture,GEEM0313,3.0,,1,1,100.0
2022.0,CEA,Bachelor of Science in Architecture,GESM0313,2.33,0.72,102,9,8.82
2022.0,CEA,Bachelor of Science in Architecture,HRCH0212,1.57,0.87,127,10,7.87
2022.0,CEA,Bachelor of Science in Architecture,HRCH0312,2.23,0.69,94,5,5.32
2022.0,CEA,Bachelor of Science in Architecture,ICTE0112,3.0,,1,1,100.0
