Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Drop_Count,Drop_Rate
2023.0,1,CCST,Bachelor of Science in Computer Science,4th Year,4,136,2,1.47
2023.0,2,CCST,Bachelor of Science in Computer Science,4th Year,4,130,0,0.0
2024.0,1,CCST,Bachelor of Science in Computer Science,4th Year,4,69,0,0.0
2024.0,2,CCST,Bachelor of Science in Computer Science,4th Year,4,69,0,0.0
2023.0,1,CCST,Bachelor of Science in Data Science,1st Year,1,39,0,0.0
2023.0,2,CCST,Bachelor of Science in Data Science,1st Year,1,37,0,0.0
2024.0,1,CCST,Bachelor of Science in Data Science,1st Year,1,18,0,0.0
2024.0,2,CCST,Bachelor of Science in Data Science,1st Year,1,17,0,0.0
2024.0,1,CCST,Bachelor of Science in Data Science,2nd Year,2,33,0,0.0
2024.0,2,CCST,Bachelor of Science in Data Science,2nd Year,2,32,0,0.0
2022.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,Irregular,-1,19,0,0.0
2022.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,Irregular,-1,16,0,0.0
2023.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,Irregular,-1,18,2,11.11
2023.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,Irregular,-1,15,1,6.67
2024.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,Irregular,-1,23,1,4.35
2024.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,Irregular,-1,20,0,0.0
2022.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1st Year,1,112,0,0.0
2022.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1st Year,1,102,0,0.0
2023.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1st Year,1,89,1,1.12
2023.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1st Year,1,77,1,1.3
2024.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1st Year,1,124,1,0.81
2024.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,1st Year,1,106,2,1.89
2022.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2nd Year,2,65,3,4.62
2022.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2nd Year,2,61,0,0.0
2023.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2nd Year,2,77,4,5.19
2023.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2nd Year,2,73,1,1.37
2024.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2nd Year,2,69,0,0.0
2024.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,2nd Year,2,63,0,0.0
2022.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,3rd Year,3,38,0,0.0
2022.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,3rd Year,3,36,0,0.0
2023.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,3rd Year,3,53,3,5.66
2023.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,3rd Year,3,46,2,4.35
2024.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,3rd Year,3,72,2,2.78
2024.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,3rd Year,3,70,1,1.43
2022.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,4th Year,4,55,0,0.0
2022.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,4th Year,4,48,0,0.0
2023.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,4th Year,4,35,4,11.43
2023.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,4th Year,4,35,0,0.0
2024.0,1,CCST,Bachelor of Science in Entertainment and Multimedia Computing,4th Year,4,45,7,15.56
2024.0,2,CCST,Bachelor of Science in Entertainment and Multimedia Computing,4th Year,4,44,1,2.27
2022.0,1,CCST,Bachelor of Science in Information Technology,Irregular,-1,29,0,0.0
2022.0,2,CCST,Bachelor of Science in Information Technology,Irregular,-1,22,1,4.55
2023.0,1,CCST,Bachelor of Science in Information Technology,Irregular,-1,32,0,0.0
2023.0,2,CCST,Bachelor of Science in Information Technology,Irregular,-1,20,1,5.0
2024.0,1,CCST,Bachelor of Science in Information Technology,Irregular,-1,34,0,0.0
2024.0,2,CCST,Bachelor of Science in Information Technology,Irregular,-1,34,3,8.82
2022.0,1,CCST,Bachelor of Science in Information Technology,1st Year,1,156,3,1.92
2022.0,2,CCST,Bachelor of Science in Information Technology,1st Year,1,148,0,0.0
2023.0,1,CCST,Bachelor of Science in Information Technology,1st Year,1,289,0,0.0
2023.0,2,CCST,Bachelor of Science in Information Technology,1st Year,1,266,2,0.75
2024.0,1,CCST,Bachelor of Science in Information Technology,1st Year,1,285,2,0.7
2024.0,2,CCST,Bachelor of Science in Information Technology,1st Year,1,270,1,0.37
2022.0,1,CCST,Bachelor of Science in Information Technology,2nd Year,2,113,1,0.88
2022.0,2,CCST,Bachelor of Science in Information Technology,2nd Year,2,107,2,1.87
2023.0,1,CCST,Bachelor of Science in Information Technology,2nd Year,2,150,2,1.33
2023.0,2,CCST,Bachelor of Science in Information Technology,2nd Year,2,142,1,0.7
2024.0,1,CCST,Bachelor of Science in Information Technology,2nd Year,2,251,2,0.8
2024.0,2,CCST,Bachelor of Science in Information Technology,2nd Year,2,245,4,1.63
2022.0,1,CCST,Bachelor of Science in Information Technology,3rd Year,3,111,0,0.0
2022.0,2,CCST,Bachelor of Science in Information Technology,3rd Year,3,109,1,0.92
2023.0,1,CCST,Bachelor of Science in Information Technology,3rd Year,3,108,0,0.0
2023.0,2,CCST,Bachelor of Science in Information Technology,3rd Year,3,103,1,0.97
2024.0,1,CCST,Bachelor of Science in Information Technology,3rd Year,3,143,3,2.1
2024.0,2,CCST,Bachelor of Science in Information Technology,3rd Year,3,138,3,2.17
2022.0,1,CCST,Bachelor of Science in Information Technology,4th Year,4,73,0,0.0
2022.0,2,CCST,Bachelor of Science in Information Technology,4th Year,4,73,0,0.0
2023.0,1,CCST,Bachelor of Science in Information Technology,4th Year,4,110,1,0.91
2023.0,2,CCST,Bachelor of Science in Information Technology,4th Year,4,108,2,1.85
2024.0,1,CCST,Bachelor of Science in Information Technology,4th Year,4,103,0,0.0
2024.0,2,CCST,Bachelor of Science in Information Technology,4th Year,4,102,0,0.0
2022.0,1,CEA,Bachelor of Science in Architecture,Irregular,-1,125,0,0.0
2022.0,2,CEA,Bachelor of Science in Architecture,Irregular,-1,130,0,0.0
2023.0,1,CEA,Bachelor of Science in Architecture,Irregular,-1,140,5,3.57
2023.0,2,CEA,Bachelor of Science in Architecture,Irregular,-1,147,3,2.04
2024.0,1,CEA,Bachelor of Science in Architecture,Irregular,-1,141,5,3.55
2024.0,2,CEA,Bachelor of Science in Architecture,Irregular,-1,170,6,3.53
2022.0,1,CEA,Bachelor of Science in Architecture,1st Year,1,146,0,0.0
2022.0,2,CEA,Bachelor of Science in Architecture,1st Year,1,145,0,0.0
2023.0,1,CEA,Bachelor of Science in Architecture,1st Year,1,213,1,0.47
2023.0,2,CEA,Bachelor of Science in Architecture,1st Year,1,208,1,0.48
2024.0,1,CEA,Bachelor of Science in Architecture,1st Year,1,171,6,3.51
