Year_Numeric,Sem_Numeric,College,Course,Year_Level,Year_Level_Num,Total_Students,Irregular_Count,Drop_Count,INC_Count,Irregular_Rate,Drop_Rate,INC_Rate
2022.0,2,CEA,Bachelor of Science in Electronics Engineering,2nd Year,2,53,14,0,14,26.42,0.0,26.42
2023.0,1,CEA,Bachelor of Science in Electronics Engineering,2nd Year,2,74,12,0,12,16.22,0.0,16.22
2023.0,2,CEA,Bachelor of Science in Electronics Engineering,2nd Year,2,70,13,1,12,18.57,1.43,17.14
2024.0,1,CEA,Bachelor of Science in Electronics Engineering,2nd Year,2,69,20,0,20,28.99,0.0,28.99
2024.0,2,CEA,Bachelor of Science in Electronics Engineering,2nd Year,2,68,12,5,7,17.65,7.35,10.29
2022.0,1,CEA,Bachelor of Science in Electronics Engineering,3rd Year,3,72,7,0,7,9.72,0.0,9.72
2022.0,2,CEA,Bachelor of Science in Electronics Engineering,3rd Year,3,72,29,0,29,40.28,0.0,40.28
2023.0,1,CEA,Bachelor of Science in Electronics Engineering,3rd Year,3,49,11,0,11,22.45,0.0,22.45
2023.0,2,CEA,Bachelor of Science in Electronics Engineering,3rd Year,3,49,4,0,4,8.16,0.0,8.16
2024.0,1,CEA,Bachelor of Science in Electronics Engineering,3rd Year,3,69,11,1,10,15.94,1.45,14.49
2024.0,2,CEA,Bachelor of Science in Electronics Engineering,3rd Year,3,68,26,0,26,38.24,0.0,38.24
2022.0,1,CEA,Bachelor of Science in Electronics Engineering,4th Year,4,67,9,0,9,13.43,0.0,13.43
2022.0,2,CEA,Bachelor of Science in Electronics Engineering,4th Year,4,63,4,0,4,6.35,0.0,6.35
2023.0,1,CEA,Bachelor of Science in Electronics Engineering,4th Year,4,67,6,1,5,8.96,1.49,7.46
2023.0,2,CEA,Bachelor of Science in Electronics Engineering,4th Year,4,67,3,1,3,4.48,1.49,4.48
2024.0,1,CEA,Bachelor of Science in Electronics Engineering,4th Year,4,49,5,4,1,10.2,8.16,2.04
2024.0,2,CEA,Bachelor of Science in Electronics Engineering,4th Year,4,49,2,0,2,4.08,0.0,4.08
2022.0,1,CEA,Bachelor of Science in Industrial Engineering,Irregular,-1,13,5,0,5,38.46,0.0,38.46
2022.0,2,CEA,Bachelor of Science in Industrial Engineering,Irregular,-1,8,2,0,2,25.0,0.0,25.0
2023.0,1,CEA,Bachelor of Science in Industrial Engineering,Irregular,-1,11,1,1,0,9.09,9.09,0.0
2023.0,2,CEA,Bachelor of Science in Industrial Engineering,Irregular,-1,11,0,0,0,0.0,0.0,0.0
2024.0,1,CEA,Bachelor of Science in Industrial Engineering,Irregular,-1,17,3,0,3,17.65,0.0,17.65
2024.0,2,CEA,Bachelor of Science in Industrial Engineering,Irregular,-1,11,3,0,3,27.27,0.0,27.27
2022.0,1,CEA,Bachelor of Science in Industrial Engineering,1st Year,1,98,10,0,10,10.2,0.0,10.2
2022.0,2,CEA,Bachelor of Science in Industrial Engineering,1st Year,1,94,29,0,29,30.85,0.0,30.85
2023.0,1,CEA,Bachelor of Science in Industrial Engineering,1st Year,1,95,2,0,2,2.11,0.0,2.11
2023.0,2,CEA,Bachelor of Science in Industrial Engineering,1st Year,1,94,29,0,29,30.85,0.0,30.85
2024.0,1,CEA,Bachelor of Science in Industrial Engineering,1st Year,1,102,3,0,3,2.94,0.0,2.94
2024.0,2,CEA,Bachelor of Science in Industrial Engineering,1st Year,1,101,3,0,3,2.97,0.0,2.97
2022.0,1,CEA,Bachelor of Science in Industrial Engineering,2nd Year,2,80,9,0,9,11.25,0.0,11.25
2022.0,2,CEA,Bachelor of Science in Industrial Engineering,2nd Year,2,79,5,0,5,6.33,0.0,6.33
2023.0,1,CEA,Bachelor of Science in Industrial Engineering,2nd Year,2,96,5,3,4,5.21,3.12,4.17
